exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
NSE,20MICRONS,INE144J01027,EQ,189.50,189.50,185.34,185.92,188.53,68836,12868215.02,1922
NSE,21STCENMGM,INE253B01015,EQ,42.31,42.31,42.31,42.31,43.17,1953,82631.43,26
NSE,360ONE,INE466L01038,EQ,1162.20,1176.70,1147.80,1168.00,1175.60,477268,555786817.20,28987
NSE,3BBLACKBIO,INE994E01018,EQ,1240.00,1241.00,1188.00,1208.00,1244.60,6179,7487691.50,819
NSE,3IINFOLTD,INE748C01038,EQ,27.34,27.73,27.06,27.60,27.13,1500401,41103416.39,4268
NSE,3MINDIA,INE470A01017,EQ,36200.00,36470.00,35740.00,36115.00,35900.00,3128,112780010.00,1433
NSE,3PLAND,INE105C01023,EQ,31.85,32.45,31.47,32.17,31.50,59969,1919219.81,144
NSE,5PAISA,INE618L01018,EQ,384.40,389.00,375.10,377.35,384.40,30571,11695162.95,1835
NSE,63MOONS,INE111B01023,EQ,859.10,878.00,855.00,858.65,861.10,169985,146839889.60,4929
NSE,A2ZINFRA,INE619I01012,EQ,16.30,16.58,15.77,15.82,16.60,446560,7123714.81,847
NSE,AAATECH,INE0D0U01013,EQ,101.98,101.98,96.81,97.98,99.48,19795,1958161.63,702
NSE,AADHARHFC,INE883F01010,EQ,501.55,506.30,495.00,501.55,501.65,157842,79003943.65,10102
NSE,AAKASH,INE087Z01024,EQ,9.06,9.14,9.03,9.11,9.04,59588,542401.58,186
NSE,AAREYDRUGS,INE198H01019,BE,82.79,85.95,81.00,85.51,83.81,121254,10352301.03,142
NSE,AARNAV,INE750R01016,EQ,30.62,32.39,30.62,31.80,30.62,45309,1426576.43,686
NSE,AARON,INE721Z01010,EQ,139.98,140.00,135.09,138.59,139.99,17603,2417517.79,517
NSE,AARTECH,INE01C001026,BE,46.00,48.53,45.80,48.53,46.22,45312,2161598.66,178
NSE,AARTIDRUGS,INE767A01016,EQ,426.00,453.65,421.50,439.35,422.55,1384949,612530954.00,31326
NSE,AARTIIND,INE769A01020,EQ,501.25,510.80,497.05,505.30,500.55,1309229,662466391.40,27423
NSE,AARTIPHARM,INE0LRU01027,EQ,848.90,932.60,826.20,883.70,823.00,14873286,13398398193.55,353400
NSE,AARTISURF,INE09EO01013,EQ,510.00,572.00,500.90,572.00,520.00,168065,93931018.50,5681
NSE,AARVI,INE754X01016,EQ,153.97,155.80,153.61,155.03,154.01,7592,1174848.19,237
NSE,AASTHA,INE2FMX01012,EQ,74.80,74.80,73.01,73.12,73.51,916506,67121731.34,3870
NSE,AAVAS,INE216P01012,EQ,1414.00,1440.00,1378.00,1396.80,1404.00,159507,224120130.10,16729
NSE,ABAN,INE421A01028,BE,19.60,19.60,19.60,19.60,19.99,4227,82849.20,41
NSE,ABANSENT,INE365O01028,EQ,26.00,27.30,26.00,26.26,26.47,11681,312606.97,61
NSE,ABB,INE117A01022,EQ,7649.50,7714.00,7561.50,7611.50,7649.50,147983,1125394746.50,22160
NSE,ABBOTINDIA,INE358A01014,EQ,27535.00,28135.00,27330.00,28020.00,27535.00,8470,235292090.00,3067
NSE,ABCAPITAL,INE674K01013,EQ,409.90,409.90,403.00,407.15,407.75,4097499,1659728277.45,45273
NSE,ABCOTS,INE08PH01015,EQ,199.00,201.99,198.61,199.68,201.66,11158,2236261.93,297
NSE,ABDL,INE552Z01027,EQ,630.00,630.70,616.05,619.80,624.70,188769,117274997.50,8813
NSE,ABFRL,INE647O01011,EQ,61.00,61.30,58.10,58.63,61.04,15922412,942879445.57,47790
NSE,ABINFRA,INE00YB01025,EQ,10.25,10.95,10.16,10.81,10.18,2326421,24700496.70,2743
NSE,ABLBL,INE14LE01019,EQ,91.55,92.90,91.02,91.48,91.55,498817,45685815.82,6582
NSE,ABMINTLLTD,INE251C01025,EQ,52.56,52.56,47.99,52.56,43.80,17560,909692.79,137
NSE,ABMKNO,INE850B01026,EQ,192.00,200.00,192.00,197.95,192.90,1290,253379.68,36
NSE,ABREL,INE055A01016,EQ,1391.00,1405.00,1380.20,1400.80,1393.20,52419,73127188.90,6700
NSE,ABSLAMC,INE404A01024,EQ,1008.80,1021.20,1001.50,1019.70,1011.80,114010,115492546.70,16565
NSE,ACC,INE012A01025,EQ,1362.00,1362.00,1338.00,1339.80,1357.60,132670,178686450.00,10401
NSE,ACCELYA,INE793A01012,EQ,1152.50,1155.00,1141.80,1146.60,1143.60,5032,5779951.30,660
NSE,ACCURACY,INE648Z01023,BE,4.77,4.95,4.74,4.81,4.77,18079,87042.10,119
NSE,ACE,INE731H01025,EQ,1113.60,1118.80,1065.30,1073.30,1113.60,269214,293032466.10,20602
NSE,ACEINTEG,INE543V01017,EQ,18.36,19.10,18.35,18.49,18.88,6201,114769.17,67
NSE,ACI,INE128X01021,EQ,523.30,523.30,513.00,513.55,518.75,83197,42904047.95,6087
NSE,ACL,INE666E01020,EQ,47.77,48.50,47.77,48.43,48.01,8485,408868.19,116
NSE,ACMESOLAR,INE622W01025,EQ,364.00,370.70,362.95,368.45,365.80,667352,244837364.10,15822
NSE,ACSTECH,INE366C01021,EQ,51.90,53.56,49.50,50.45,50.60,697758,35792721.13,4164
NSE,ACUTAAS,INE00FF01025,EQ,3298.00,3298.00,3222.00,3246.00,3282.00,153105,497180779.70,24910
NSE,ADANIENSOL,INE931S01010,EQ,1660.00,1672.00,1616.10,1622.00,1632.00,2222288,3647619290.40,84504
NSE,ADANIENT,INE423A01024,EQ,3062.00,3062.00,2980.00,2995.50,3010.00,1422452,4284770731.60,56677
NSE,ADANIGREEN,INE364U01010,EQ,1415.00,1416.00,1354.00,1366.00,1369.00,3232524,4441315840.90,66974
NSE,ADANIPORTS,INE742F01042,EQ,1700.00,1703.40,1661.80,1668.20,1681.00,2263466,3799566711.60,95492
NSE,ADANIPOWER,INE814H01029,EQ,213.00,213.80,208.20,209.00,210.65,17507515,3685078394.01,84141
NSE,ADFFOODS,INE982B01027,EQ,264.90,269.85,260.25,265.45,262.95,150603,39915076.85,4945
NSE,ADL,INE0CHO01012,EQ,75.59,75.59,68.01,70.19,73.75,262,18519.76,48
NSE,ADOR,INE045A01017,EQ,1508.80,1521.00,1492.10,1505.60,1518.40,16237,24402701.20,2193
NSE,ADROITINFO,INE737B01033,EQ,10.11,10.30,9.30,10.17,10.08,114483,1151107.86,296
NSE,ADSL,INE102I01027,EQ,115.14,115.55,113.49,114.09,115.36,82175,9387854.02,1763
NSE,ADVAIT,INE0ALI01010,EQ,2197.80,2233.40,2171.20,2180.90,2186.90,57633,126479978.60,6677
NSE,ADVANCE,INE1B0W01010,EQ,121.85,124.60,120.61,122.21,121.21,155096,19074522.08,2503
NSE,ADVANIHOTR,INE199C01026,EQ,50.35,50.90,50.08,50.27,50.07,16593,835623.77,307
NSE,ADVENTHTL,INE28GN01010,EQ,146.34,147.39,142.80,143.66,145.48,69171,9992649.77,1504
NSE,ADVENZYMES,INE837H01020,EQ,294.55,299.55,291.05,298.30,294.55,366896,108422388.40,7874
NSE,AEGISLOG,INE208C01025,EQ,1333.70,1345.10,1286.50,1297.60,1333.70,826977,1079925850.00,43327
NSE,AEGISVOPAK,INE0INX01018,EQ,276.45,283.95,271.40,280.55,276.55,1235949,344162159.60,21578
NSE,AEPL,INE757T01025,EQ,16.01,16.20,15.20,15.87,16.01,67228,1054118.62,622
NSE,AEQUS,INE947N01017,EQ,244.99,245.50,237.06,240.73,244.13,1920098,463826058.30,31430
NSE,AEROENTER,INE065D01027,EQ,127.79,131.00,123.38,129.41,127.11,385997,49315528.96,4344
NSE,AEROFLEX,INE024001021,EQ,421.70,426.50,416.00,422.65,420.75,797908,335985189.15,17360
NSE,AERONEU,INE035801013,EQ,85.50,85.50,83.41,84.06,83.26,39116,3290844.11,262
NSE,AEROPLANE,INE05TO01019,EQ,192.40,194.95,181.42,182.92,190.96,346641,65353724.30,3748
NSE,AETHER,INE0BWX01014,EQ,1597.50,1645.00,1596.00,1634.20,1597.50,214948,348688294.60,17849
NSE,AFCONS,INE101I01011,EQ,261.95,271.05,259.10,263.65,262.85,1403363,371818940.80,21610
NSE,AFFLE,INE00WC01027,EQ,1598.00,1698.00,1595.20,1677.30,1594.50,345397,574811600.40,32078
