exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
BSE,1STCUS,INE609B01018,X,2026-09-21,62.5,61,18,1079,5,62.309,63.891,,140.25,0.1283,68,69.8,72.99,56.2,54.55,54.55,75.9,54.55,-17.6548,14.5738,-2.3132,-0.5885,43.7382,5.5954,8.6957,0.3065,-2.1771,,-1.434,-4.4998
BSE,20MICRONS,INE144J01027,B,2026-09-21,219.45,208.2,27919,6159837,829,214.4125,204.985,,14761.15,1.8914,233.7,233.7,233.7,194.45,182,182,233.7,178.5,-6.0976,22.9412,7.4945,10.8333,51.2698,4.1516,9.2788,2.3494,7.0566,,9.9861,4.0232
NSE,20MICRONS,INE144J01027,EQ,2026-09-21,220.12,208.28,561790,124231574.31,13332,214.4555,205.0456,,239041.85,2.3502,233.53,233.53,233.53,194.05,182,182,233.53,178,-5.7423,23.6629,7.8016,10.9811,51.6733,4.3298,9.8693,2.6413,7.3517,,10.0091,4.0139
BSE,21STCENMGM,INE253B01015,B,2026-09-21,39,39.28,762,29698,17,40.299,38.989,,1347.45,0.5655,44.63,46.15,46.15,37.45,30.66,30.66,46.15,30.66,-15.493,27.2016,-14.361,23.9276,31.7744,2.37,1.2987,-3.2234,0.0282,,-1.2049,7.683
NSE,21STCENMGM,INE253B01015,EQ,2026-09-21,39.47,38.98,776,30489.5,39,39.769,39.6234,,4195.3,0.185,44.62,46.49,46.49,37.36,31.02,30.6,46.49,30.6,-15.1,28.9869,-8.8663,23.7692,42.7861,2.8068,3.1332,-0.7518,-0.3871,,-5.8499,8.2033
BSE,360ONE,INE466L01038,A,2026-09-21,1075,1082.8,15571,16713429,905,1132.895,1139.701,,92766.65,0.1679,1221.55,1222,1222,1037.9,1037.9,1037.9,1222,1032,-12.0295,4.1667,-10.2671,-4.8167,29.1134,2.7488,2.0179,-5.1104,-5.677,,-2.7076,0.7221
NSE,360ONE,INE466L01038,EQ,2026-09-21,1072.7,1073.1,573949,616490375.5,26619,1131.995,1140.234,,740416,0.7752,1219.8,1222.9,1222.9,1037.1,1037.1,1037.1,1222.9,1031.3,-12.2823,4.0144,-10.5338,-4.9867,24.8895,2.7887,2.1735,-5.2381,-5.9228,,-2.9834,0.7064
BSE,3BBLACKBIO,INE994E01018,B,2026-09-21,1407.65,1326.95,2286,3128320,413,1401,1298.129,,3513.95,0.6505,1585,1585,1585,1215,1111,1111,1585,1100.4,-11.1893,27.9217,17.4608,22.0541,46.644,5.7454,8.6898,0.4747,8.4368,,15.1717,6.753
NSE,3BBLACKBIO,INE994E01018,EQ,2026-09-21,1407.8,1319.3,9258,12710732.3,1578,1400.01,1298.624,,21261.45,0.4354,1588.9,1588.9,1588.9,1191.4,1099.5,1099.5,1588.9,1099.5,-11.3978,28.04,17.0728,22.5666,46.692,5.743,8.681,0.5564,8.4071,,14.9372,6.764
BSE,3BFILMS,INE0TE101010,M,2026-09-21,14.82,14.13,6000,84960,2,13.1855,14.636,,29850,0.201,15.6,17.29,25.8,11,11,11,25.8,11,-42.5581,34.7273,11.1778,-12.7722,62.8531,5.2005,9.7778,12.3962,1.2572,,-13.583,
BSE,3CIT,INE0R7D01018,M,2026-09-21,17,17,4000,68000,2,17.0145,,,4600,0.8696,20.36,,,13.02,,,20.36,13.02,-16.5029,30.5684,4.6154,,50.6284,7.2857,0,-0.0852,,,,
BSE,3IINFOLTD,INE748C01038,T,2026-09-21,25.45,25.55,42274,1076221,237,23.4665,22.978,,60165.45,0.7026,26.25,27.78,27.78,21.3,17.74,16.8,27.78,16.26,-8.3873,56.5191,10.1732,35.5165,66.3934,4.398,4.7904,8.4525,10.7581,,-4.2653,11.4744
NSE,3IINFOLTD,INE748C01038,BE,2026-09-21,25.62,25.5,374020,9588950.8,945,23.505,23.0152,,283191.65,1.3207,26.25,27.8,27.8,21.7,18,17,27.8,16.25,-7.8417,57.6615,9.6747,36.4944,70.3762,3.8976,5,8.9981,11.3177,,-4.3131,11.5304
