exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,JAIPAN,INE058D01030,XT,37.18,38.85,36.50,36.68,37.00,6130,230289.00,29
BSE,JAMESWARREN,INE718P01017,X,250.35,281.00,250.35,253.05,250.35,978,247378.00,21
BSE,JAMNAAUTO,INE039C01032,A,126.70,130.95,126.50,126.95,128.55,43718,5626380.00,743
BSE,JAMSHRI,INE462D01034,X,74.00,75.00,73.01,75.00,74.00,225,16674.00,6
BSE,JARO,INE00YJ01010,B,468.05,485.00,465.85,470.05,468.20,10702,5100819.00,525
BSE,JASCH,INE711C01028,XT,277.70,280.90,270.05,279.95,280.90,815,223693.00,22
BSE,JASH,INE039O01029,B,485.10,517.50,485.10,513.15,489.60,8359,4242114.00,447
BSE,JATTAINDUS,INE722N01014,X,580.00,580.00,580.00,580.00,577.55,1,580.00,1
BSE,JAUSPOL,INE593O01017,X,20.85,22.80,19.52,19.65,20.99,3615,81205.00,25
BSE,JAYAGROGN,INE785A01026,B,234.20,236.55,222.70,224.45,232.20,1598,363066.00,48
BSE,JAYANT,INE0KR801019,MT,68.40,69.80,67.10,69.80,66.50,4500,308475.00,6
BSE,JAYBARMARU,INE571B01036,B,113.50,115.50,110.80,112.70,112.75,24628,2757793.00,431
BSE,JAYCH,INE693E01016,X,7.49,7.49,6.67,6.85,6.88,9196,63714.00,78
BSE,JAYIND,INE250D01017,X,13.00,13.00,13.00,13.00,13.20,2,26.00,2
BSE,JAYKAILASH,INE0MSS01019,MT,60.00,64.00,58.67,63.27,61.75,115200,7006736.00,44
BSE,JAYKAY,INE903A01025,B,154.00,160.70,154.00,157.15,155.10,19936,3132629.00,365
BSE,JAYNECOIND,INE854B01010,A,87.71,89.31,87.50,88.97,87.32,70833,6281977.00,619
BSE,JAYSREETEA,INE364A01020,B,89.65,90.88,89.37,89.42,89.34,1310,118101.00,36
BSE,JAYSYNTH,INE263B01022,XT,17.00,17.77,16.20,17.42,17.02,18691,318831.00,114
BSE,JAYUSH,INE289D01015,X,830.00,830.00,826.00,827.35,826.00,78,64562.00,17
BSE,JBMA,INE927D01051,A,589.45,595.00,586.20,593.50,588.10,12145,7199407.00,433
BSE,JDCABLES,INE14VP01014,M,190.00,197.00,190.00,193.30,187.40,38400,7464160.00,46
BSE,JENBURPH,INE354A01013,B,1024.00,1028.90,982.20,992.20,995.35,266,264358.00,29
BSE,JETFREIGHT,INE982V01025,B,20.01,20.01,16.80,19.33,19.79,20277,376306.00,190
BSE,JETKINGQ,INE919C01019,X,129.00,129.00,122.05,124.00,125.95,10916,1364821.00,119
BSE,JETSOLAR,INE155R01018,M,7.14,7.14,7.14,7.14,6.80,4000,28560.00,1
BSE,JGCHEM,INE0MB501011,B,585.60,596.70,580.45,589.35,583.25,11123,6566842.00,462
BSE,JGTL,INE0QXV01014,X,523.30,550.00,523.30,546.95,530.00,811,435249.00,12
BSE,JHACC,INE865D01012,X,201.00,209.00,191.00,200.30,196.35,24198,4888309.00,194
BSE,JHS,INE544H01014,B,8.98,8.98,8.50,8.55,8.49,251,2183.00,11
BSE,JINDALPHOT,INE796G01012,B,1120.35,1135.00,1083.50,1134.55,1121.20,263,290534.00,38
BSE,JINDALPOLY,INE197D01010,B,742.35,742.35,721.00,726.45,743.10,2180,1583794.00,219
BSE,JINDALSAW,INE324A01032,A,283.90,294.30,281.70,291.25,281.45,111617,32286345.00,2267
BSE,JINDALSTEL,INE749A01030,A,1123.85,1135.00,1104.10,1125.55,1104.40,26988,30424384.00,1824
BSE,JINDCAP,INE356F01017,X,34.60,34.60,32.20,33.95,34.10,1915,62826.00,32
BSE,JINDHOT,INE726D01016,X,63.26,65.00,62.07,62.44,63.26,779,48812.00,23
BSE,JINDRILL,INE742C01031,B,591.15,595.70,580.00,582.80,595.30,13884,8132151.00,507
BSE,JINDWORLD,INE247D01039,B,50.34,50.72,48.77,49.00,49.18,502244,24803841.00,959
BSE,JIOFIN,INE758E01017,A,224.85,230.20,224.85,229.50,225.00,1077991,246358578.00,11035
BSE,JISLJALEQS,INE175A01038,A,29.23,31.21,29.00,30.24,29.01,414250,12557594.00,1641
BSE,JITFINFRA,INE863T01013,B,282.10,285.65,280.00,284.75,277.90,565,159984.00,66
BSE,JIYAECO,INE023S01024,XT,12.34,12.34,12.34,12.34,11.76,2,24.00,2
BSE,JJFINCOR,INE584C01011,XT,43.70,43.71,43.70,43.71,46.00,8,349.00,4
BSE,JKAGRI,INE690O01011,X,281.00,313.00,280.05,303.25,280.05,2863,859705.00,75
BSE,JKCEMENT,INE823G01014,A,4807.60,5049.00,4787.75,5030.30,4732.10,2361,11646870.00,466
BSE,JKIL,INE576I01022,B,483.00,489.05,472.50,475.95,479.40,672,320309.00,70
BSE,JKIPL,INE1FF001016,B,95.40,95.40,95.40,95.40,95.35,10,954.00,2
BSE,JKLAKSHMI,INE786A01032,A,511.05,511.05,505.00,510.05,506.70,4090,2082952.00,161
BSE,JKPAPER,INE789E01012,A,417.75,442.00,415.00,417.75,417.75,110120,47035335.00,2519
BSE,JKTYRE,INE573A01042,A,343.90,349.80,343.85,348.60,343.30,30880,10710957.00,1128
BSE,JLHL,INE682M01020,A,276.25,280.15,271.25,277.35,277.30,3976,1094015.00,277
BSE,JLL,INE919T01013,XT,79.95,83.00,78.00,83.00,82.00,39,3076.00,8
BSE,JMDVL,INE047E01031,XT,6.70,7.36,6.70,7.03,7.03,1509,10537.00,19
BSE,JMFINANCIL,INE780C01023,A,121.00,123.10,120.85,122.50,120.55,186954,22845425.00,1721
BSE,JMJFIN,INE242Q01016,X,9.60,9.60,9.31,9.51,9.46,3793,36059.00,52
BSE,JNKINDIA,INE0OAF01028,B,408.00,415.10,406.40,411.25,407.55,5387,2220513.00,234
BSE,JNPR,INE05C901015,B,260.30,262.20,251.50,257.50,261.80,52433,13418578.00,1167
BSE,JOHNPHARMA,INE560F01022,X,0.47,0.47,0.45,0.46,0.47,408622,189056.00,322
BSE,JOINDRE,INE024B01010,X,49.00,49.00,47.50,48.97,48.78,404,19422.00,23
BSE,JOJO,INE312M01024,XT,226.00,226.00,225.95,226.00,221.60,65505,14803929.00,155
BSE,JOLYPLS,INE289M01016,XT,42.00,43.00,42.00,43.00,42.36,1008,43336.00,5
BSE,JONJUA,INE793Z01027,M,3.03,3.09,3.03,3.09,2.95,93405,287687.00,13
BSE,JOSTS,INE636D01041,X,221.00,224.00,217.20,219.85,221.10,4968,1100495.00,70
BSE,JPOLYINVST,INE147P01019,B,988.00,993.55,967.20,981.90,977.85,546,535638.00,125
BSE,JPPOWER,INE351F01018,A,15.41,15.62,15.22,15.28,15.41,3109453,48043535.00,3595
BSE,JSFB,INE953L01027,A,505.55,534.40,505.55,520.95,505.80,61693,32227473.00,1589
BSE,JSL,INE220G01021,A,730.60,742.20,722.10,724.30,730.75,150641,110302819.00,7046
BSE,JSLINDL,INE581L01018,X,800.00,800.00,799.95,799.95,800.00,4,3199.00,3
BSE,JSLL,INE0J5801029,A,494.00,503.30,489.20,490.80,497.05,17345,8569517.00,582
BSE,JSTL,INE237B01018,X,80.00,82.40,76.26,80.66,79.71,10392,833466.00,88
BSE,JSWCEMENT,INE718I01012,A,116.55,117.35,116.00,116.60,116.55,75562,8797524.00,1236
BSE,JSWDULUX,INE133A01011,A,3073.35,3090.05,3060.70,3071.85,3079.65,137,420759.00,32
BSE,JSWENERGY,INE121E01018,A,504.50,513.95,504.50,511.00,505.70,835926,427873680.00,1513
BSE,JSWHL,INE824G01012,A,10947.95,11255.00,10915.05,11186.40,10924.15,161,1775352.00,83
BSE,JSWINFRA,INE880J01026,A,325.40,329.55,323.00,326.05,325.40,2061266,676032454.00,2936
BSE,JSWSTEEL,INE019A01038,A,1251.35,1256.90,1242.20,1256.80,1248.80,21682,27113653.00,1554
BSE,JTEKTINDIA,INE643A01035,B,116.50,119.55,116.50,118.85,117.50,6190,732476.00,133
BSE,JTLDEFENCE,INE140B01048,XT,839.25,839.25,839.25,839.25,856.35,478,401161.00,51
BSE,JTLIND,INE391J01032,B,85.00,87.55,83.94,87.33,84.66,122379,10554478.00,1346
BSE,JUBLCPL,INE03CC01015,B,2104.45,2107.00,1991.50,2019.40,2104.45,545,1110505.00,107
BSE,JUBLFOOD,INE797F01020,A,468.00,486.65,468.00,481.75,469.90,24176,11597312.00,1028
BSE,JUBLINGREA,INE0BY001018,A,624.10,639.40,624.10,636.45,633.80,9637,6083721.00,549
BSE,JUBLPHARMA,INE700A01033,A,1001.50,1025.00,999.90,1012.05,1002.70,7562,7695516.00,528
BSE,JUJHARLOGI,INE198N01017,X,200.00,204.50,196.65,196.65,206.95,488,96381.00,12
BSE,JULIEN,INE890N01027,X,1.14,1.15,1.11,1.11,1.14,100078,112277.00,121
BSE,JUMBO,INE699D01015,XT,89.00,89.81,86.80,89.80,86.22,1000,88795.00,29
BSE,JUNGLECAMP,INE0WCH01015,M,42.00,42.90,42.00,42.90,41.00,4800,203040.00,3
BSE,JUNIPER,INE696F01016,B,217.00,218.90,213.55,215.55,214.75,18367,3974634.00,378
BSE,JUPITERIN,INE524N01014,X,44.00,44.00,41.01,41.71,42.74,14614,620238.00,108
BSE,JUSTDIAL,INE599M01018,A,670.05,677.00,664.70,673.25,674.35,3194,2138827.00,229
BSE,JWL,INE209L01016,A,228.90,233.40,228.90,231.20,228.60,32229,7452152.00,926
BSE,JYOTHYLAB,INE668F01031,A,195.05,198.00,193.45,193.80,195.30,19605,3818461.00,541
BSE,JYOTI,INE511D01012,X,60.60,61.60,59.50,59.56,59.38,45035,2706127.00,167
BSE,JYOTICNC,INE980O01024,A,972.10,1006.30,960.40,980.25,967.05,23871,23540749.00,1030
BSE,JYOTIRES,INE577D01013,B,838.95,845.10,823.95,839.90,842.80,3655,3065135.00,397
BSE,JYOTISTRUC,INE197A01024,B,9.02,9.19,8.98,9.12,9.02,212021,1928650.00,432
BSE,KABRADG,INE323K01017,X,19.77,19.77,18.90,19.22,19.05,64188,1231727.00,144
BSE,KABRAEXTRU,INE900B01029,B,630.70,647.00,627.65,634.65,628.75,17581,11149082.00,632
BSE,KABSON,INE645C01010,X,20.78,20.78,19.10,19.76,20.88,5619,115299.00,22
BSE,KACHCHH,INE059E01010,X,25.77,26.93,25.77,26.93,25.65,101,2713.00,4
BSE,KACL,INE229G01022,X,5.60,5.95,5.60,5.67,5.78,23423,134461.00,97
BSE,KAHAN,INE04T901017,MT,12.80,12.80,12.80,12.80,13.12,6400,81920.00,1
BSE,KAIRA,INE375D01012,X,1421.00,1421.00,1421.00,1421.00,1401.70,6,8526.00,2
BSE,KAIZENAGRO,INE891N01017,XT,9.91,9.91,9.77,9.77,9.95,1872,18417.00,15
BSE,KAJARIACER,INE217B01036,A,1201.00,1222.95,1201.00,1217.00,1215.20,1100,1340303.00,138
BSE,KAJARIR,INE434C01027,X,32.69,32.69,30.30,32.39,32.71,2247,71109.00,30
BSE,KAKA,INE0P3N01018,M,214.00,215.00,214.00,215.00,214.30,1500,322000.00,3
BSE,KAKATCEM,INE437B01014,B,108.00,108.00,106.00,106.00,108.90,21,2266.00,4
BSE,KAKTEX,INE092E01011,X,7.70,8.09,7.70,8.09,8.10,371,2895.00,3
BSE,KALAMANDIR,INE438K01021,B,77.78,78.95,76.60,76.74,78.01,37279,2887430.00,491
BSE,KALIND,INE377D01026,X,4.97,5.13,4.97,4.97,5.23,13007392,64696983.00,1062
BSE,KALLAM,INE629F01025,XT,2.00,2.14,2.00,2.10,2.04,26685,56073.00,41
BSE,KALPACOMME,INE059Q01014,X,8.71,8.71,8.23,8.23,7.26,114,951.00,7
BSE,KALPATARU,INE227J01012,B,259.75,260.95,255.35,257.65,257.15,2153,557232.00,141
BSE,KALYANCAP,INE149Q01021,X,6.88,6.90,6.51,6.60,6.70,12801,85363.00,66
BSE,KALYANI,INE0N6U01018,M,1152.10,1267.30,1152.10,1267.30,1152.10,22500,28001575.00,80
BSE,KALYANIFRG,INE314G01014,T,1023.00,1029.85,1022.00,1024.90,992.45,155,158617.00,6
BSE,KALYANKJIL,INE303R01014,A,580.85,592.50,578.75,582.00,580.00,279612,163594644.00,4251
BSE,KAMAHOLD,INE411F01010,B,2250.00,2288.40,2250.00,2269.15,2250.50,795,1798422.00,118
BSE,KAMANWALA,INE344D01018,B,17.00,17.00,17.00,17.00,17.27,1,17.00,1
BSE,KAMATHOTEL,INE967C01018,B,211.20,220.50,211.20,218.85,209.00,2940,638453.00,151
BSE,KAMATS,INE564S01019,B,34.14,34.14,30.00,31.15,33.82,41358,1281259.00,125
BSE,KAMDHENU,INE390H01020,T,39.45,40.00,38.17,39.62,38.76,34249,1346209.00,130
BSE,KAMOPAINTS,INE0BTI01037,B,4.41,4.45,4.25,4.35,4.21,14311,61715.00,62
BSE,KANANIIND,INE879E01037,B,1.42,1.52,1.40,1.41,1.44,25805,37123.00,56
BSE,KANCHI,INE081G01019,B,389.80,390.00,380.00,390.00,389.45,133,50939.00,15
BSE,KANELIND,INE252C01023,XT,75.50,75.95,73.00,75.00,73.64,808,60489.00,39
BSE,KANOHAR,INE877D01025,B,775.65,885.65,766.55,818.70,751.30,1995400,1671651626.00,57530
BSE,KANORICHEM,INE138C01024,T,187.15,190.45,177.80,184.05,187.15,7900,1437112.00,142
BSE,KANPRPLA,INE694E01014,B,267.20,267.55,258.80,260.00,262.10,178,47019.00,22
BSE,KANSAINER,INE531A01024,A,183.30,186.05,182.95,184.15,185.20,14397,2656393.00,412
BSE,KANSHST,INE791E01018,X,45.50,45.80,43.55,45.50,45.00,1227,55216.00,8
BSE,KAPILRAJ,INE332Q01023,X,2.57,2.57,2.57,2.57,2.45,568959,1462224.00,67
BSE,KARAMTARA,INE590T01012,B,320.00,351.95,320.00,351.95,0.00,1948007,661828391.00,27627
BSE,KARANWO,INE327D01013,X,8.65,8.65,7.85,7.85,8.24,101,872.00,2
BSE,KARBON,INE0V8A01016,M,145.85,145.85,127.00,131.70,136.20,82400,11206400.00,89
BSE,KARMAENG,INE725L01011,B,39.58,41.30,39.30,40.00,39.56,26582,1077279.00,266
