symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
SAMBANDAM,EQ,161.90,24-AUG-2026,97.70,19-AUG-2026
SAMBHAAV,EQ,11.53,24-NOV-2025,5.07,30-MAR-2026
SAMBHV,EQ,141.32,11-MAY-2026,81.42,27-JAN-2026
SAMHI,EQ,220.82,09-SEP-2025,127.00,30-MAR-2026
SAMINDUS$,EQ,-,-,-,-
SAMKRG$,EQ,-,-,-,-
SAMMAANCAP,EQ,192.95,03-NOV-2025,129.00,23-MAR-2026
SAMOR$,EQ,-,-,-,-
SAMPANN,EQ,43.44,06-NOV-2025,23.75,30-MAR-2026
SAMPAT$,ST,-,-,-,-
SAMPRE$,EQ,-,-,-,-
SAMRATPH$,EQ,-,-,-,-
SAMSRITA$,EQ,-,-,-,-
SAMTEX$,EQ,-,-,-,-
SAMYAKINT$,EQ,-,-,-,-
SANATHAN,EQ,551.95,12-SEP-2025,352.60,30-MAR-2026
SANBLUE$,EQ,-,-,-,-
SANCF$,BE,-,-,-,-
SANCTRN$,EQ,-,-,-,-
SANDESH,EQ,1270.00,07-AUG-2026,811.00,30-MAR-2026
SANDHAR,EQ,763.20,12-JUN-2026,424.00,30-MAR-2026
SANDUMA,EQ,273.00,05-JAN-2026,151.50,10-SEP-2025
SANDUPHQ$,EQ,-,-,-,-
SANGAMFIN$,EQ,-,-,-,-
SANGAMIND,EQ,672.50,20-JUL-2026,362.75,08-SEP-2025
SANGANI,SM,77.00,23-SEP-2025,37.00,01-APR-2026
SANGHVIMOV,EQ,528.00,10-AUG-2026,223.80,16-MAR-2026
SANGINITA,BE,68.02,31-JUL-2026,9.26,04-DEC-2025
SANINFRA$,BE,-,-,-,-
SANJIVIN$,EQ,-,-,-,-
SANOFI,EQ,5120.00,08-SEP-2025,3054.00,29-MAY-2026
SANOFICONR,EQ,5357.00,17-SEP-2025,3975.00,24-FEB-2026
SANPA$,EQ,-,-,-,-
SANSERA,EQ,4084.90,01-SEP-2026,1364.20,01-OCT-2025
SANSTAR,EQ,137.49,24-JUN-2026,74.30,02-APR-2026
SANTETX$,EQ,-,-,-,-
SANTOSHF$,BE,-,-,-,-
SANWARIA,BZ,.39,08-SEP-2025,.18,07-SEP-2026
SAPL$,BE,-,-,-,-
SAPPHIRE,EQ,338.00,10-SEP-2025,139.91,02-APR-2026
SAPPL,EQ,334.30,09-JUL-2026,252.00,01-JUL-2026
SARDAEN,EQ,639.75,16-SEP-2025,453.10,21-JAN-2026
SAREGAMA,EQ,574.50,05-AUG-2026,307.05,09-MAR-2026
SARLAPOLY,EQ,111.00,06-AUG-2026,68.40,30-MAR-2026
SAROJA,SM,49.25,08-SEP-2025,28.00,07-AUG-2026
SARTELE,SM,264.85,08-JAN-2026,88.40,03-SEP-2026
SARTHAKGL$,EQ,-,-,-,-
SARTHAKIN$,EQ,-,-,-,-
SARUPINDU$,EQ,-,-,-,-
SARVESHWAR,EQ,8.25,17-SEP-2025,2.50,30-MAR-2026
SARVOTTAM$,EQ,-,-,-,-
SASHWAT$,BE,-,-,-,-
SASKEN,EQ,2780.20,19-JUN-2026,991.00,16-MAR-2026
SATANIBRG$,EQ,-,-,-,-
SATCH$,EQ,-,-,-,-
SATECH,SM,60.75,17-DEC-2025,31.15,27-JUL-2026
SATIA,EQ,86.00,11-SEP-2025,50.80,30-MAR-2026
SATIN,EQ,274.14,27-JUL-2026,135.81,09-DEC-2025
SATIPOLY,ST,81.00,11-NOV-2025,27.15,01-APR-2026
SATKARTAR,SM,219.80,15-APR-2026,112.00,21-AUG-2026
SATTRIX$,SM,-,-,-,-
SATTVAENGG,SM,118.90,17-SEP-2025,43.50,09-MAR-2026
SAUMYA$,EQ,-,-,-,-
SAURASHCEM,EQ,120.00,09-SEP-2025,47.65,30-MAR-2026
SAVERA$,EQ,-,-,-,-
