exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
NSE,DLINKINDIA,INE250K01012,EQ,433.80,437.20,428.85,434.25,433.80,42937,18518216.45,2239
NSE,DMART,INE192R01011,EQ,3677.80,3706.20,3650.00,3688.00,3690.00,710188,2609109780.30,39044
NSE,DMCC,INE505A01010,EQ,292.80,292.80,284.55,287.55,291.95,79664,22881874.60,2008
NSE,DNAMEDIA,INE016M01021,EQ,2.48,2.56,2.45,2.51,2.48,18152,45162.75,111
NSE,DODLA,INE021O01019,EQ,1090.10,1103.30,1068.10,1090.80,1090.10,20513,22255657.70,2727
NSE,DOLATALGO,INE966A01022,EQ,68.93,69.98,68.02,69.32,69.77,89632,6160646.97,1131
NSE,DOLLAR,INE325C01035,EQ,270.00,276.90,265.60,273.55,271.80,119178,32503071.35,3735
NSE,DOLLEX,INE0JHH01011,EQ,35.00,38.95,35.00,38.45,39.05,215183,8065864.90,1165
NSE,DOLPHIN,INE920A01037,EQ,650.05,668.70,627.20,649.00,654.00,66808,43265029.60,3439
NSE,DOMS,INE321T01012,EQ,2151.00,2165.10,2110.00,2121.00,2165.60,28530,60814155.70,7319
NSE,DONEAR,INE668D01028,EQ,85.21,85.99,84.01,85.03,85.21,13507,1148330.69,199
NSE,DPABHUSHAN,INE266Y01019,EQ,1369.90,1369.90,1325.40,1340.60,1369.30,23180,31130976.20,2008
NSE,DPSCLTD,INE360C01024,BE,7.08,7.29,7.00,7.14,7.05,54041,386390.12,343
NSE,DPWIRES,INE864X01013,BE,153.00,154.49,147.00,150.33,153.47,16075,2411697.45,157
NSE,DRAGARWQ,INE934C01018,EQ,5252.00,5350.50,5252.00,5306.50,5306.00,976,5179862.50,284
NSE,DRCSYSTEMS,INE03RS01027,EQ,12.90,12.98,12.63,12.92,12.86,26002,334178.92,224
NSE,DREAMFOLKS,INE0JS101016,EQ,66.60,66.99,65.27,66.12,67.12,37033,2445778.44,751
NSE,DREDGECORP,INE506A01018,EQ,1025.50,1046.00,1009.10,1039.70,1030.70,59951,61729015.00,6259
NSE,DRREDDY,INE089A01031,EQ,1130.00,1182.00,1130.00,1165.50,1143.00,2403285,2804826547.60,114294
NSE,DSFCL,INE0OFM01015,BE,25.50,25.89,24.70,24.73,25.49,104784,2611695.63,128
NSE,DSKULKARNI,INE891A01022,BE,21.00,21.00,21.00,21.00,20.59,52,1092.00,2
NSE,DSSL,INE417B01040,EQ,1030.00,1080.00,1015.30,1059.10,1032.20,32122,33999016.90,3227
NSE,DTIL,INE341R01014,BE,143.95,145.00,140.10,142.91,144.20,4346,621814.42,52
