exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
NSE,BHARATRAS,INE838B01021,EQ,2026-09-17,1164,1157.4,5205,6047396,1049,1213.255,1279.248,,13846.25,0.3759,1321.8,1433,1433,1101,1101,1101,1475.8,1101,-21.1275,5.7221,-8.9487,-11.1179,22.3242,3.3168,1.4481,-4.0597,-9.009,,-7.8865,-4.9826
BSE,BHARATROHAN,INE0QMV01017,M,2026-09-17,121.2,120,3200,388480,3,123.775,123.324,,10400,0.3077,138,142,144,115,109,109,144,105,-15.8333,15.4286,0.1653,-2.5332,47.9365,4.3936,0.6601,-2.0804,-1.7223,,-1.4922,0.8084
BSE,BHARATSE,INE415D01024,B,2026-09-17,209,205.25,8955,1877491,224,219.655,225.723,,16159,0.5542,238.15,263.55,263.55,199,199,183.45,263.55,171.5,-20.6982,21.8659,-8.2126,-9.465,40.2516,4.648,4.8249,-4.8508,-7.4086,,-3.3251,3.6063
NSE,BHARATSE,INE415D01024,EQ,2026-09-17,209.22,205.26,129883,27264891.27,3393,219.81,225.8088,,161512.95,0.8042,238.14,263.18,263.18,198.36,198.36,182.81,263.18,171,-20.5031,22.3509,-7.9097,-8.912,40.6235,4.5769,5.5235,-4.8178,-7.3464,,-3.2831,3.6743
BSE,BHARATWIRE,INE316L01019,B,2026-09-17,171.7,168.15,13881,2379830,309,179.145,191.246,,13121.85,1.0579,191.15,221.25,224.05,164,164,164,226.55,164,-24.211,4.6951,-7.9603,-17.4916,34.7698,4.158,6.5678,-4.1559,-10.2203,,-8.5342,-6.0848
NSE,BHARATWIRE,INE316L01019,EQ,2026-09-17,171.69,167.69,195420,33655556.3,3467,179.389,191.3076,,137947.6,1.4166,191.8,221.62,224.9,163.62,163.62,163.62,225.99,163.62,-24.0276,4.9322,-7.857,-17.5123,30.525,4.1728,6.5242,-4.2918,-10.2545,,-8.3471,-6.0548
BSE,BHARTIARTL,INE397D01024,A,2026-09-17,1827.5,1837,335875,615669244,7552,1868.9575,1910.666,,271414.7,1.2375,1954.75,2027.2,2027.2,1812.7,1812.7,1812.7,2027.2,1765.8,-9.851,3.4942,-5.0649,-3.2992,38.7025,1.5366,0.9825,-2.2182,-4.3527,,-3.857,0.0089
NSE,BHARTIARTL,INE397D01024,EQ,2026-09-17,1836,1835,4368285,8021221872.2,124838,1868.88,1911.11,,5351490.35,0.8163,1954.9,2031,2031,1811.9,1811.9,1811.9,2031,1768.6,-9.6012,3.8109,-4.4745,-2.7594,42.4813,1.7184,1.0013,-1.7593,-3.9302,,-3.9178,0.0068
BSE,BHARTIHEXA,INE343G01021,A,2026-09-17,1480.7,1479.9,19728,29010304,337,1542.2775,1575.245,,7257.65,2.7182,1629.8,1675,1675,1467,1467,1431,1675,1431,-11.6,3.4731,-7.3984,-2.5919,33.2573,2.5331,1.3804,-3.9926,-6.0019,,-2.871,1.789
NSE,BHARTIHEXA,INE343G01021,EQ,2026-09-17,1481.1,1479.3,82494,121793013.3,12947,1542.435,1575.242,,69442.95,1.1879,1631.4,1678.1,1678.1,1465,1465,1430,1678.1,1430,-11.7395,3.5734,-7.2167,-2.5528,34.9008,2.4817,1.8362,-3.9765,-5.9764,,-2.843,1.7901
BSE,BHASKAGR,INE972C01018,X,2026-09-17,108.3,105.35,1229,131359,31,110.4075,114.196,,3479.55,0.3532,128,135,143.45,100.6,100.6,100.6,143.45,100.6,-24.5033,7.6541,1.4995,-14.0476,46.875,5.8436,3.8095,-1.9088,-5.1631,,-3.5806,-6.8503
BSE,BHATIA,INE341Z01025,X,2026-09-17,35.99,34.61,359647,12645220,812,31.9035,27.616,,245283.55,1.4662,36.9,36.9,36.9,28.11,22.51,22.51,36.9,22.51,-2.4661,59.8845,22.0828,43.96,90.671,5.4261,12.6718,12.8089,30.323,,28.0879,10.2418
BSE,BHAVIK,INE18PB01017,M,2026-09-17,148,144,4000,592800,4,144.39,,,21450,0.1865,154.6,,,140,,,163,140,-9.2025,5.7143,4.9645,,58.0052,2.0294,2.1798,2.5002,,,,
BSE,BHEL,INE257A01026,A,2026-09-17,428,410,443127,187967168,5651,423.815,416.988,,368599.05,1.2022,438.95,446.75,446.75,405.75,379.5,371.85,446.75,367.85,-4.197,16.3518,2.27,13.3325,47.0998,2.898,4.781,0.9875,2.6408,,2.6062,2.8919
NSE,BHEL,INE257A01026,EQ,2026-09-17,429.2,410.6,8684564,3687823565.15,85259,424.2625,417.295,,6545419.3,1.3268,442.65,446.5,446.5,406,379.3,371.8,446.5,367.6,-3.8746,16.7573,2.2392,13.6051,47.7064,3.1287,4.8564,1.1638,2.8529,,2.6394,2.925
BSE,BHILSPIN,INE436C01014,X,2026-09-17,124.6,123.55,6206,757966,15,130.335,128.94,,2492.85,2.4895,138.45,152.95,152.95,118,118,118,152.95,110,-18.5355,13.2727,-2.6563,0.5244,35.7143,4.5374,7.2541,-4.4002,-3.3659,,1.707,2.1388
BSE,BHUDEVI,INE432N01010,X,2026-09-17,67.9,65.9,64981,4395501,668,106.385,138.718,,4753.7,13.6696,165.15,193,218,62.65,62.65,62.65,236,62.65,-71.2288,8.3799,-60.9321,-62.1305,3.125,7.206,10.3751,-36.1752,-51.0518,,-34.4779,-22.4749
BSE,BI,INE986A01012,T,2026-09-17,103.95,99,41907,4329625,154,93.951,76.9356,,17791.35,2.3555,104.94,111.96,111.96,85.2,52.57,52.57,111.96,52.57,-7.1543,97.7364,13.297,67.3644,67.6851,5.4655,5,10.6428,35.113,,40.2044,21.9806
NSE,BI,INE986A01012,BE,2026-09-17,102.5,97.62,28323,2881815.04,131,93.612,76.7362,,60146.15,0.4709,104.9,111.51,111.51,85,57.5,55,111.51,55,-8.08,86.3636,11.8263,64.6586,66.1752,5.5861,5.1282,9.4945,33.5745,,39.8781,21.8209
BSE,BIBCL,INE994B01014,B,2026-09-17,14.59,15.25,38138,562058,262,15.4375,15.8964,,19374.4,1.9685,18,18,18.3,14.11,14.11,14.11,18.5,14.11,-21.1351,3.4018,-8.9832,-12.6347,26.1324,5.8357,6.8966,-5.4899,-8.2182,,-2.811,-4.1126
BSE,BIGBLOC,INE412U01025,B,2026-09-17,39.52,39.48,1199,47302,50,41.554,44.47,,5938.4,0.2019,44.5,49.8,54.12,37.87,37.87,37.87,58.9,37.87,-32.9032,4.357,-9.0239,-15.9864,28.1922,3.9564,3.5047,-4.8948,-11.1311,,-9.6515,-6.6439
NSE,BIGBLOC,INE412U01025,EQ,2026-09-17,39.45,39.51,27779,1101089.52,466,41.528,44.4378,,39123.7,0.71,44,50,53.98,38,38,38,56,38,-29.5536,3.8158,-9.0804,-15.7591,26.462,4.0377,5.1948,-5.0039,-11.2242,,-9.654,-6.6707
BSE,BIHSPONG,INE819C01011,X,2026-09-17,12.49,12.41,8272,105585,46,12.2735,12.3948,,28035.1,0.2951,13.5,13.77,13.77,11.01,11.01,11.01,14.14,11.01,-11.669,13.4423,-2.7259,1.7101,52.7508,6.4966,6.6122,1.764,0.7681,,-0.752,-1.1295
BSE,BIKAJI,INE00E101023,A,2026-09-17,553.7,540.2,5593,3082653,287,586.4525,614.086,,47511.6,0.1177,635.95,660,669.35,533.35,533.35,533.35,685,533.35,-19.1679,3.8155,-9.1178,-13.9215,25.8828,2.6355,3.357,-5.5849,-9.8335,,-6.7376,-4.4284
NSE,BIKAJI,INE00E101023,EQ,2026-09-17,552.65,540.95,51835,28559255.1,4587,586.455,614.096,,191206.95,0.2711,635.9,660.45,666,532.75,532.75,532.75,682,532.75,-18.9663,3.7353,-9.2752,-14.1781,24.7119,2.7827,2.6021,-5.7643,-10.0059,,-6.7213,-4.4329
BSE,BIL,INE828A01016,B,2026-09-17,1025.35,1041.2,1214,1248332,62,930.99,836.132,,1621.5,0.7487,1149,1149,1149,701.05,701.05,692.5,1149,670,-10.7615,53.0373,23.3726,26.9312,71.878,6.6225,3.41,10.1354,22.6302,,17.6982,10.6479
NSE,BIL,INE828A01016,EQ,2026-09-17,1023.45,1036.25,7093,7334558.8,686,929.2425,836.458,,28800.65,0.2463,1150,1150,1150,827.4,680,680,1150,665,-11.0043,53.9023,21.4633,41.7423,70.0848,6.7429,4.8467,10.1381,22.3552,,16.5706,10.1752
BSE,BILLWIN,INE0CRS01012,M,2026-09-17,19.75,19.64,18000,354120,3,18.9125,,,11850,1.519,23.65,,,15.8,,,25.9,15.8,-23.7452,25,-5.2758,,42.3103,6.8969,0.6113,4.4283,,,,
BSE,BILVYAPAR,INE071A01013,T,2026-09-17,4.2,4.16,613,2576,8,4.0985,4.102,,1789.85,0.3425,4.58,4.58,4.59,3.88,3.85,3.85,4.73,3.82,-11.2051,9.9476,2.6895,2.1898,52.5547,4.4728,5.2109,2.4765,2.3891,,0.3919,-0.7549
NSE,BILVYAPAR,INE071A01013,BE,2026-09-17,4.15,4.16,3909,15921.89,18,4.08,4.0924,,6576.05,0.5944,4.46,4.46,4.49,3.85,3.8,3.8,4.66,3.8,-10.9442,9.2105,1.2195,-0.7177,53.2468,5.0602,4.4554,1.7157,1.4075,,0.505,-0.6844
BSE,BIMETAL,INE469A01019,B,2026-09-17,648.5,659.9,76,49277,10,632.0275,647.966,,457.05,0.1663,670,724.55,724.55,580.05,580.05,580.05,724.55,580.05,-10.4962,11.8007,4.1015,-0.5292,55.4094,4.0401,1.3281,2.6063,0.0824,,-2.4001,
NSE,BIMETAL,INE469A01019,EQ,2026-09-17,641.3,638.65,171,109107.65,23,632.8525,647.203,,563.25,0.3036,679,750.75,750.75,575.8,575.8,575.8,750.75,575.8,-14.5788,11.3755,2.6819,-3.4841,58.5714,4.6646,2.0394,1.3348,-0.9121,,-2.1787,-0.7421
BSE,BINNYMILLS,INE160L01011,X,2026-09-17,237.4,226.1,100,23740,1,259.505,,,64.6,1.548,360,,,205.1,,,378.8,205.1,-37.3284,15.7484,-32.4609,,27.595,5.4173,0,-8.5181,,,,
BSE,BIOCON,INE376G01013,A,2026-09-17,380,374.05,52588,19840788,1298,400.06,416.44,,989479.85,0.0531,421.25,447,447,370.45,370.45,370.45,447,370.45,-14.9888,2.5779,-8.279,-4.258,17.4138,2.3609,3.0503,-5.0142,-8.7504,,-6.1316,-1.5576
NSE,BIOCON,INE376G01013,EQ,2026-09-17,380,374.4,3043285,1151576902.55,40434,400.625,416.513,,2909703.5,1.0459,421.6,447.15,447.15,370.5,370.5,370.5,447.15,370.5,-15.0173,2.5641,-7.9346,-4.2942,18.3168,2.4962,3.1039,-5.1482,-8.7664,,-5.908,-1.5005
BSE,BIOFILCHEM,INE829A01014,B,2026-09-17,32.99,33.1,1060,35473,18,32.5635,32.6786,,49145.4,0.0216,42,42,42,29.62,28.8,28.8,42,28.8,-21.4524,14.5486,5.8729,-1.6985,49.8353,7.7794,12.3974,1.3097,0.9529,,0.7129,-3.2003
NSE,BIOFILCHEM,INE829A01014,EQ,2026-09-17,32.86,33.13,16709,555691.95,226,32.5255,32.662,,114230.4,0.1463,37.8,37.8,37.8,30.12,30.12,30.12,39,30.12,-15.7436,9.0969,6.3086,-0.9644,50.2717,5.7865,3.9252,1.0284,0.6062,,0.6467,-3.102
BSE,BIOGEN,INE703D01023,X,2026-09-17,0.28,0.28,1469895,406450,595,0.276,0.2888,,4282010.85,0.3433,0.3,0.36,0.36,0.25,0.25,0.25,0.37,0.25,-24.3243,12,0,-3.4483,50,5.8673,3.7037,1.4493,-3.0471,,-5.641,-6.1118
BSE,BIRET,INE0FDU25010,IF,2026-09-17,338.63,340.14,5180,1752593,252,341.1285,341.713,,70504.75,0.0735,346.5,348,348,334.15,334.15,320.01,348,316,-2.6925,7.1614,-0.9361,0.2665,41.8697,1.2329,1.1139,-0.7324,-0.9022,,-0.5929,1.7504
BSE,BIRLACABLE,INE800A01015,B,2026-09-17,402.2,383.05,102205,40970602,1336,331.2475,267.264,,46877.95,2.1802,410.8,410.8,410.8,260.65,175.05,175.05,410.8,175.05,-2.0935,129.7629,40.5802,127.553,77.7424,5.6519,4.1294,21.4198,50.4879,,36.3341,24.0354
NSE,BIRLACABLE,INE800A01015,EQ,2026-09-17,401.65,382.55,431704,172655030.4,4271,331.8215,267.3196,,407837.2,1.0585,411.95,411.95,411.95,261,177,175.65,411.95,175.65,-2.5003,128.665,41.0436,125.811,77.0758,5.8269,4.8695,21.044,50.2509,,36.7445,24.1315
BSE,BIRLACORPN,INE340A01012,A,2026-09-17,812.6,803.95,1227,988731,173,862.9025,906.007,,2483.55,0.4941,909.9,1050,1050,791,791,791,1053.55,791,-22.8703,2.7307,-8.0925,-13.2857,26.8935,2.7847,1.95,-5.8295,-10.3097,,-4.6596,-5.0409
NSE,BIRLACORPN,INE340A01012,EQ,2026-09-17,811.15,803.9,39164,31558255.75,3822,862.2075,905.723,,46208.55,0.8475,899.9,1051.95,1051.95,789.9,789.9,789.9,1054.1,789.9,-23.0481,2.6902,-8.3343,-13.3757,24.3301,2.7624,1.875,-5.9217,-10.4417,,-4.7569,-5.0744
BSE,BIRLACOT,INE655I01032,XT,2026-09-17,14.23,14.74,42318,618619,189,17.579,,,90609,0.467,20.77,,,14.1,,,28.51,14.1,-50.0877,0.922,-16.8323,,18.8446,7.8707,6.383,-19.0511,,,,
